valid_start_utc,pm25_ug_m3
2023-03-03 13:00:00+00:00,101.61997985839844
2023-03-03 14:00:00+00:00,106.19797770182292
2023-03-03 15:00:00+00:00,101.85031127929688
2023-03-03 16:00:00+00:00,54.97310129801432
2023-03-03 17:00:00+00:00,40.923630714416504
2023-03-03 18:00:00+00:00,33.588810761769615
2023-03-03 19:00:00+00:00,28.56750233968099
2023-03-03 20:00:00+00:00,24.810810963312786
2023-03-03 21:00:00+00:00,23.7397042910258
2023-03-03 22:00:00+00:00,23.94576136271159
2023-03-03 23:00:00+00:00,25.992693583170574
2023-03-04 00:00:00+00:00,29.944178263346355
2023-03-04 01:00:00+00:00,33.63148331642151
2023-03-04 02:00:00+00:00,38.49852172533671
2023-03-04 03:00:00+00:00,46.13605753580729
2023-03-04 04:00:00+00:00,56.14378615220388
2023-03-04 05:00:00+00:00,68.00200732549031
2023-03-04 06:00:00+00:00,80.3864190975825
2023-03-04 07:00:00+00:00,91.6873156229655
2023-03-04 08:00:00+00:00,100.78084635734558
2023-03-04 09:00:00+00:00,105.9462661743164
2023-03-04 10:00:00+00:00,105.74459457397461
2023-03-04 11:00:00+00:00,99.5540607770284
2023-03-04 12:00:00+00:00,92.95513407389323
2023-03-04 13:00:00+00:00,87.09604199727376
2023-03-04 14:00:00+00:00,81.70607312520345
