valid_start_utc,pm25_ug_m3
2023-03-18 13:00:00+00:00,35.28687540690104
2023-03-18 14:00:00+00:00,28.24243418375651
2023-03-18 15:00:00+00:00,24.35434103012085
2023-03-18 16:00:00+00:00,16.00714111328125
2023-03-18 17:00:00+00:00,10.808940251668295
2023-03-18 18:00:00+00:00,10.0985959370931
2023-03-18 19:00:00+00:00,9.461344718933105
2023-03-18 20:00:00+00:00,8.696019331614176
2023-03-18 21:00:00+00:00,8.914998888969421
2023-03-18 22:00:00+00:00,10.40543282032013
2023-03-18 23:00:00+00:00,10.633679588635763
2023-03-19 00:00:00+00:00,11.552412350972494
2023-03-19 01:00:00+00:00,16.311752716700237
2023-03-19 02:00:00+00:00,23.96700668334961
2023-03-19 03:00:00+00:00,33.83290306727091
2023-03-19 04:00:00+00:00,43.62847773234049
2023-03-19 05:00:00+00:00,54.469261169433594
2023-03-19 06:00:00+00:00,66.60378519694011
2023-03-19 07:00:00+00:00,78.0920181274414
2023-03-19 08:00:00+00:00,85.43980280558269
2023-03-19 09:00:00+00:00,92.39811674753825
2023-03-19 10:00:00+00:00,97.6468292872111
2023-03-19 11:00:00+00:00,100.2150936126709
2023-03-19 12:00:00+00:00,101.78201357523601
2023-03-19 13:00:00+00:00,104.7008883158366
2023-03-19 14:00:00+00:00,110.33983357747395
